0	0
9013	50
9268	100
9519	150
9770	200
10021	250
10272	300
10523	350
10775	400
11026	450
11278	500
11529	550
11780	600
12031	650
12281	700
12533	750
12785	800
13036	850
13286	900
13537	950
13789	1000
14039	1050
14292	1100
14545	1150
14797	1200
15047	1250
15299	1300
15550	1350
15801	1400
16051	1450
16303	1500
16554	1550
16806	1600
17057	1650
17308	1700
17559	1750
17810	1800
18061	1850
18312	1900
18563	1950
18814	2000
19065	2050
19316	2100
19567	2150
19818	2200
20069	2250
20320	2300
20571	2350
20821	2400
21073	2450
21323	2500
